n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
76	MONO_ARRAY2	MONO_ARRAY2.copy	Reading	note	The derived destination region of an empty source region can still be invalid, and then Subscript is raised although nothing would be copied.		tests/basis/fn/mono_array2_fn.sml:761-762	1	tests	<name>.copy/Subscript-dst-nothing-row-beyond, <name>.copy/Subscript-dst-nothing-cols-too-far		yes		testsB	
77	MONO_ARRAY2	MONO_ARRAY2.region	Reading	note	"""0 <= #row reg <= nRows"" allows a region to start at the end of the array; such empty regions are valid: nothing traversed or copied, no Subscript."		tests/basis/fn/mono_array2_fn.sml:699-702	1	tests	<name>.appi/nothing-RowMajor-rows-at-the-end, <name>.appi/nothing-RowMajor-cols-at-the-end, <name>.foldi/nothing-RowMajor-zero-nrows-ncols-at-the-end, <name>.modifyi/nothing-ColMajor-zero-ncols, <name>.copy/nothing-rows-at-the-end, <name>.copy/nothing-to-the-end-of-dst		yes		testsB	
78	MONO_ARRAY_SLICE	<Mono>ArraySlice.copy	Reading	note	Same overlap-safe copy direction for all monomorphic array slices.		lib/basis/mono_array_slice_fn.sml:64-65	1	lib-body			no		lib	
79	NET_HOST_DB	NetHostDB.fromString	Reading	note	The forms a, a.b, a.b.c are read as inet_aton reads them: a single part is 32 bits, the last of two parts 24 bits, the last of three 16 bits.		tests/basis/netdb.sml:38-40	1	tests	NetHostDB.fromString/one-part, NetHostDB.fromString/two-parts, NetHostDB.fromString/three-parts		yes		testsA	
80	NET_HOST_DB	NetHostDB.fromString	Reading	note	"""As specified in the C language"" is read as: 0x or 0X begins a hexadecimal constant, a leading 0 an octal one."		tests/basis/netdb.sml:50-52	1	tests	NetHostDB.fromString/hexadecimal, NetHostDB.fromString/octal, NetHostDB.fromString/zeros		yes		testsA	
81	OS_FILE_SYS / OS	OS.FileSys.access	Reading	note	A_EXEC is accepted; whether the file counts as executable is up to the system (and a privileged process may access anything).	[testsA] A_EXEC must be accepted; whether a plain file counts as executable is up to the system, so only acceptance is checked here.	tests/basis/os.filesys.sml:358-360	1	tests	OS.FileSys.A_EXEC/accepted	OS.FileSys.access/*	yes	no	mine,testsA	116
82	OS	OS.FileSys.hash	Reading	note	"""Well distributed modulo 2^n"" is checked only minimally: sixteen files must not all share bit 0, and the same object gets the same hash."		tests/basis/os.filesys.sml:429-431	1	tests	OS.FileSys.hash/same-object, OS.FileSys.hash/spread		yes		testsA	
83	OS	OS.FileSys.readDir	Reading	note	Once the directory stream is empty it stays empty: repeated readDir calls keep returning NONE.		tests/basis/os.filesys.sml:88-89	1	tests	OS.FileSys.readDir/NONE-at-the-end		yes		testsA	
84	OS	OS.IO.Kind.symlink	Reading	note	Opening a symbolic link opens the file it names, so a stream's descriptor has kind file, not symlink.		tests/basis/os.io.sml:215-217	1	tests	OS.IO.Kind.symlink/opening-follows-the-link		yes		testsA	
85	OS	OS.IO.Kind.tty	Reading	note	A standard descriptor has kind tty exactly when Posix.ProcEnv.isatty says it is a terminal.		tests/basis/os.io_std.sml:43-44	1	tests	OS.IO.Kind.tty/standard-descriptors		yes		testsA	
86	OS	OS.IO.compare	Reading	note	fdToIOD of Posix stdin is the same iodesc (equal, same hash, compare EQUAL) as the one under TextIO.stdIn's reader.		tests/basis/os.io_std.sml:54-55	1	tests	OS.IO.hash/TextIO.stdIn-is-Posix-stdin, OS.IO.compare/TextIO.stdIn-is-Posix-stdin, OS.IO.compare/TextIO.stdIn-equals-Posix-stdin		yes		testsA	
87	OS	OS.IO.hash	Reading	note	"""Well distributed"" is checked only as: four open descriptors do not all have one hash."		tests/basis/os.io.sml:103-104	1	tests	OS.IO.hash/not-constant		yes		testsA	
88	OS	OS.IO.pollDesc	Reading	note	"For TextIO.stdIn pollDesc may return NONE (""no polling supported""); if SOME, pollToIODesc gives the descriptor back."		tests/basis/os.io_std.sml:33	1	tests	OS.IO.pollDesc/TextIO.stdIn		yes		testsA	
89	OS	OS.IO.pollIn	Reading	note	pollIn gives a different poll_desc from the bare one, and adding the condition twice equals adding it once.		tests/basis/os.io.sml:121-122	1	tests	OS.IO.pollIn/adds-a-condition, OS.IO.pollIn/twice, OS.IO.pollOut/adds-a-condition		yes		testsA	
90	OS	OS.IO.pollIn	Reading	note	"Input from (and output to) a regular file counts as ""appropriate"", so Poll must not be raised."		tests/basis/os.io.sml:127-128	1	tests	OS.IO.pollIn/file-no-Poll, OS.IO.pollOut/file-no-Poll		yes		testsA	
91	OS	OS.IO.pollOut	Reading	note	The order in which conditions are added does not matter, and an output poll_desc differs from an input one.		tests/basis/os.io.sml:198-199	1	tests	OS.IO.pollOut/commutes-with-pollIn, OS.IO.pollOut/differs-from-pollIn		yes		testsA	
92	OS	OS.IO.pollPri	Reading	note	pollPri on a regular file may raise Poll; if it is accepted, poll reports no high-priority data. Both accepted.		tests/basis/os.io.sml:164	1	tests	OS.IO.pollPri/file		yes		testsA	
93	OS	OS.Path.fromString	Reading	note	"The law ""fromString o toString is the identity"" excludes the absolute path without arcs, which no string produces; a Path exception also counts as holding."		tests/basis/os.path.sml:298-300	1	tests	OS.Path.fromString/inverts-toString-random		yes		testsA	
94	OS / OS_PATH	OS.Path.joinDirFile	Reading	note	joinDirFile undoes splitDirFile on every row of the page's table except the empty path.	"[lib] Exact inverse of splitDirFile: a trailing empty arc of dir is dropped, so ""/""+""b"" is ""/b"" and ""/""+"""" is ""/""."	lib/basis/ospath.sml:65-66; tests/basis/os.path.sml:127-128	2	lib-body,tests	OS.Path.joinDirFile/row-<path>		yes		lib,testsA	
95	OS	OS.Path.mkRelative	Reading	note	"""Equivalent to the path"" is checked only for canonical paths with at least one arc below the root: mkAbsolute gives p back."		tests/basis/os.path.sml:367-369	1	tests	OS.Path.mkAbsolute/inverts-mkRelative-random, OS.Path.mkRelative/is-relative-random		yes		testsA	
96	OS	OS.Path.splitBaseExt	Reading	note	"""Everything to the left of the extension"" includes empty arcs: the base keeps ""a//c"" and ""//c"" unchanged."		tests/basis/os.path.sml:168-169	1	tests	OS.Path.splitBaseExt/empty-arc, OS.Path.splitBaseExt/root-empty-arc		yes		testsA	
97	OS	OS.Process.getEnv	Reading	note	"The variable's whole name must match: not a name that merely begins with a set name, and not a name with ""=value"" attached."		tests/basis/os.process.sml:106-107	1	tests	OS.Process.getEnv/name-that-extends-a-set-name, OS.Process.getEnv/name-with-value-attached		yes		testsA	
98	OS	OS.Process.getEnv	Reading	note	The command run by system inherits the environment getEnv reads, and cannot change this process's environment.		tests/basis/os.process.sml:166	1	tests	OS.Process.getEnv/agrees-with-the-shell, OS.Process.getEnv/not-set-by-a-command		yes		testsA	
99	OS	OS.Process.isSuccess	Reading	note	A command ended by a signal has not succeeded (from Unix: isSuccess is true only when fromStatus is W_EXITED).		tests/basis/os.process.sml:130-131	1	tests	OS.Process.isSuccess/killed-by-signal		yes		testsA	
100	OS	OS.Process.system	Reading	note	A real shell runs the command (redirection, sequencing, variables) in the current directory, and system returns only when the command is done.		tests/basis/os.process.sml:134-135	1	tests	OS.Process.system/shell-redirection, OS.Process.system/current-directory, OS.Process.system/shell-syntax, OS.Process.system/status-of-last-command, OS.Process.system/status-of-and-list, OS.Process.system/waits-for-the-command		yes		testsA	
101	OS	OS.Process.system	Reading	note	The page is silent on this: output the process has buffered is neither lost nor duplicated by running a command.		tests/basis/os.process.sml:152-153	1	tests	OS.Process.system/keeps-buffered-output		yes		testsA	
102	OS	OS.errorName	Reading	note	"""Unique name"" is read as: one condition gives one error and one name whichever function met it, and different errors have different names."		tests/basis/os.process_os.sml:67-69	1	tests	OS.errorName/same-condition, OS.syserror/same-condition, OS.errorName/different-errors, OS.errorMsg/same-error-same-message		yes		testsA	
103	OS_IO	OS.IO.kind; OS.IO.iodesc_kind, Kind	Reading	note	A descriptor may have a kind not in Kind ('a given implementation may define other iodesc values'); Rune's iodesc_kind is `Kind of string`.	[lib] iodesc_kind = Kind of string: the seven named kinds, with room for others.	lib/basis/osio.sml:13; tests/basis/os.io_std.sml:29-31	2	lib-body,tests	OS.IO.kind/TextIO.stdIn		yes	no	lib,mine	39
104	OS_IO	OS.IO.poll (closed descriptor); OS.IO.poll	Reading	note	A closed descriptor raises SysErr (each descriptor is looked at first; the system would report it ready); MLton gives [].	[lib] Timeout NONE waits indefinitely; each descriptor is checked first so a closed one raises SysErr instead of being reported ready.	docs/basis-compat.md:273-274; lib/basis/osio.sml:56-61	2	docs,lib-body	OS.IO.poll/closed*		yes	no (mlton HOST-BUG)	lib,mine	120
105	OS_PATH	OS.Path.concat	Reading	note	Appends q's arcs to p; a p ending in the parent arc keeps it (no cancellation).		lib/basis/ospath.sml:125-126	1	lib-body			no		lib	
106	OS_PATH	OS.Path.concat	Reading	note	A trailing empty arc of the first path is absorbed when joining.		lib/basis/ospath.sml:134	1	lib-body			no		lib	
107	OS_PATH	OS.Path.fromString	Reading	note	"""/"" gives arcs [""""], ""//"" gives ["""",""""], ""a/"" gives [""a"",""""]; """" gives no arcs."		lib/basis/ospath.sml:23	1	lib-body			no		lib	
108	OS_PATH	OS.Path.getParent	Reading	quote-only	Quote only: getParent path = path iff path is a root.		lib/basis/ospath.sml:176	1	lib-body			no		lib	
109	OS_PATH	OS.Path.getParent	Reading	note	"For a path ending in a separator the parent arc is appended after it: ""a/"" gives ""a/.."", ""a///"" gives ""a///..""."		lib/basis/ospath.sml:192-193	1	lib-body			no		lib	
110	OS_PATH	OS.Path.isRoot	Reading	note	"""/"" is a root, ""//"" is not (its last arc is the empty one)."	"[lib] Only ""/"" is a canonical root; ""//"" is not, because its last arc is empty."	lib/basis/ospath.sml:40-41; tests/basis/os.path.sml:258	2	lib-body,tests		OS.Path.isRoot/*	no	no	lib,mine	27
111	OS_PATH	OS.Path.mkAbsolute, mkRelative	Reading	note	Path is raised when relativeTo is not absolute, even if path is already absolute (mkAbsolute) or already relative (mkRelative).		lib/basis/ospath.sml:139-140	1	lib-body			no		lib	
112	OS_PATH	OS.Path.mkCanonical, isCanonical; OS.Path.mkCanonical	Reading	note	"""/."" canonicalises to ""/"" ('redundant current arcs are removed') although the page's list has ""/."" as canonical; all systems agree."	"[lib] Redundant parent, current and empty arcs are removed; the empty path canonicalises to "".""."	lib/basis/ospath.sml:102-103; tests/basis/os.path.sml:200-204	2	lib-body,tests	OS.Path.isCanonical/example-root-current-arc		yes	no -- NOT in basis-compat	lib,mine	26
113	OS_PATH	OS.Path.mkRelative	Reading	note	"relativeTo is canonicalised first; path's arcs are kept verbatim including a trailing empty arc (""/a/b/"" vs ""/a/c"" gives ""../b/""); root alone has none."		lib/basis/ospath.sml:146-150	1	lib-body			no		lib	
114	OS_PATH	OS.Path.splitBaseExt	Reading	quote-only	"Quote only: the extension is the non-empty text after the right-most non-initial ""."" in the last arc."		lib/basis/ospath.sml:76-77	1	lib-body			no		lib	
115	OS_PATH	OS.Path.splitDirFile	Reading	quote-only	Quote only: the file part is the last arc.		lib/basis/ospath.sml:47	1	lib-body			no		lib	
116	OS_PROCESS	OS.Process.exit	Reading	note	"""Flushes and closes all I/O streams"": the library flushes only streams over user-supplied writers still holding output; the VM flushes file streams."		lib/basis/runeexit.sml:11-14	1	lib-body			no		lib	
117	OS_PROCESS	OS.Process.sleep	Reading	note	Negative time is not tested (SML/NJ never returns, Poly/ML 5.7.1 raises SysErr); spec: returns immediately.	[lib] Quote only: zero or negative time returns immediately without an exception.	lib/basis/os.sml:35-36; tests/basis/os.process.sml:176-184	2	lib-body,tests		none	no	no	lib,mine	38
118	OS_PROCESS	OS.Process.system	Reading	note	Returns the command's termination status as the status int; failure to run raises SysErr.		lib/basis/os.sml:27	1	lib-body			no		lib	
119	PACK_REAL	PackReal*.subVec, subArr	Reading	quote-only	Quote only: Subscript if the vector is shorter than bytesPerElem; otherwise the first bytesPerElem bytes are used.		lib/basis/pack_real.sml:17-18	1	lib-body			no		lib	
120	PACK_REAL	PackReal32*.subVec, subArr	Reading	note	Same reading for the 32-bit structures.		lib/basis/pack_real32.sml:42-43	1	lib-body			no		lib	
121	PACK_WORD	PackWord*.subVec etc.	Reading	note	Subscript test (i<0 or length < bytesPerElem*(i+1)) is evaluated without the product, so a huge i gives Subscript, not Overflow.		lib/basis/pack_word.sml:12-13	1	lib-body			no		lib	
122	PACK_WORD	PackWord*.subVecX, subArrX	Reading	quote-only	Quote only: the sign (most significant) bit is extended.		lib/basis/pack_word.sml:23	1	lib-body			no		lib	
123	PACK_WORD	PackWord*.update	Reading	quote-only	Quote only: stores the bytesPerElem low-order bytes of w.		lib/basis/pack_word.sml:34	1	lib-body			no		lib	
124	POSIX_ERROR	Posix.Error (which error); Posix.Error.notempty	Reading	note	Which error a failing call reports is POSIX's; rmdir of a non-empty dir may be EEXIST or ENOTEMPTY.	[testsA] For rmdir of a non-empty directory POSIX allows EEXIST or ENOTEMPTY; the test accepts both.	tests/basis/posix_error.sml:3-10,137	2	tests	Posix.Error.notempty/rmDir-nonempty		yes	no	mine,testsA	42
125	POSIX_ERROR	Posix.Error.pipe	Reading	note	Writing to a pipe nobody reads either ends the writer with Signal.pipe or, if that signal is ignored or caught, fails with error pipe; both accepted.		tests/basis/posix_error.sml:205-206	1	tests	Posix.Error.pipe/write-without-reader		yes		testsA	
126	POSIX_ERROR	Posix.Error.syserror	Reading	note	SOME e = syserror (errorName e) holds for every errno: the POSIX table names plus the names errorName invents for the others.		lib/basis/posix_error.sml:41-42	1	lib-body			no		lib	
127	POSIX_FILE_SYS	Posix.FileSys.O.noctty	Reading	borderline	A regular file never becomes a controlling terminal, so O.noctty is only checked to leave reading unaffected.		tests/basis/posix_filesys.sml:164	1	tests	Posix.FileSys.O.noctty/regular-file		yes		testsA	
128	POSIX_FILE_SYS	Posix.FileSys.ST.ctime	Reading	note	utime changes the file's status time to now, not to the times given (checked with 2 s slack).		tests/basis/posix_filesys_stat.sml:201	1	tests	Posix.FileSys.ST.ctime/after-utime		yes		testsA	
129	POSIX_FILE_SYS	Posix.FileSys.chmod	Reading	note	The umask applies to files that are created, not to chmod.		tests/basis/posix_filesys.sml:321-322	1	tests	Posix.FileSys.chmod/not-masked		yes		testsA	
130	POSIX_FILE_SYS	Posix.FileSys.chown	Reading	note	chown and fchown are only checked where an unprivileged process can: to the owner and group the file already has.		tests/basis/posix_filesys.sml:344	1	tests	Posix.FileSys.chown/to-current-owner, Posix.FileSys.chown/owner-is-process, Posix.FileSys.fchown/to-current-owner		yes		testsA	
131	POSIX_FILE_SYS	Posix.FileSys.createf	Reading	note	createf on an existing file opens it as it is: contents and mode are kept, since the page only speaks of creating when the file does not exist.		tests/basis/posix_filesys.sml:220-221	1	tests	Posix.FileSys.createf/existing-file, Posix.FileSys.createf/existing-mode-kept, Posix.FileSys.createf/with-trunc		yes		testsA	
132	POSIX_FILE_SYS	stat, lstat, chmod, chown, utime, pathconf	Reading	note	"An empty path raises SysErr (ENOENT), as the system would, although internally """" means ""use the descriptor""."		lib/basis/posix_filesys.sml:21-23	1	lib-body			no		lib	
133	POSIX_IO	Posix.IO (FD.cloexec, getlk)	Reading	note	Two behaviours come from POSIX rather than the page: a new descriptor has cloexec clear; a process's own locks never block it (getlk gives F_UNLCK).		tests/basis/posix_io.sml:2-12	1	tests		Posix.IO.*	no	no	mine	41
134	POSIX_IO	Posix.IO.dup	Reading	borderline	"""Lowest one available"" is pinned by closing a just-opened descriptor: dup must return that same number, since open also returns the lowest."		tests/basis/posix_io.sml:213-214	1	tests	Posix.IO.dup/lowest-available		yes		testsA	
135	POSIX_IO	Posix.IO.getlk; Posix.IO.getlk, setlk, setlkw	Reading	note	When no lock blocks the described one, POSIX reports that as ltype F_UNLCK; the process's own lock does not block.	[lib] Returns the lock in the way (with its holder's pid), or the argument with type F_UNLCK when nothing blocks.	lib/basis/posix_io.sml:73-74; tests/basis/posix_io.sml:495-496	2	lib-body,tests	Posix.IO.getlk/own-lock-does-not-block, Posix.IO.getlk/no-lock		yes		lib,testsA	
136	POSIX_IO	Posix.IO.readVec, readArr	Reading	note	Reads at most n bytes; end of file gives the empty vector, told apart from failure by errno; n<0 raises Size.		lib/basis/posix_io.sml:38	1	lib-body			no		lib	
137	POSIX_PROCESS	Posix.Process.W.fromWord	Reading	quote-only	Quote: toWord o fromWord = andb with all; all is just untraced.		lib/basis/posix_process.sml:55	1	lib-body			no		lib	
138	POSIX_PROCESS	Posix.Process.W.untraced	Reading	note	Without W.untraced, waitpid_nh does not report a stopped child (returns NONE).		tests/basis/posix_process.sml:207-209	1	tests	Posix.Process.W.untraced/waitpid-without-it		yes		testsA	
139	POSIX_PROCESS	Posix.Process.alarm	Reading	note	An alarm of zero seconds requests none (per POSIX), so it cancels the outstanding alarm and returns the remaining time.		tests/basis/posix_process.sml:299-303	1	tests	Posix.Process.alarm/none-outstanding, Posix.Process.alarm/remaining, Posix.Process.alarm/cancelled		yes		testsA	
140	POSIX_PROCESS	Posix.Process.exec	Reading	note	The first item of args is the new program's argument 0, passed as given rather than replaced by the path.		tests/basis/posix_process.sml:120-122	1	tests	Posix.Process.exec/args, Posix.Process.exec/argument-0		yes		testsA	
141	POSIX_PROCESS	Posix.Process.exec	Reading	note	For exec and exece the path is a pathname: a name without a slash is not looked for on PATH, and the call raises SysErr.		tests/basis/posix_process.sml:143-145	1	tests	Posix.Process.exec/not-searched		yes		testsA	
142	POSIX_PROCESS	Posix.Process.fork	Reading	quote-only	Quote only: NONE in the child, SOME pid in the parent.		lib/basis/posix_process.sml:27	1	lib-body			no		lib	
143	POSIX_PROCESS	Posix.Process.sleep	Reading	note	Result not specified by the page: POSIX's 'time left' is taken.		tests/basis/posix_process.sml:330-333	1	tests	Posix.Process.sleep/one-second, Posix.Process.sleep/zero		yes	no	mine	40
144	POSIX_PROC_ENV	Posix.ProcEnv.getlogin	Reading	note	Without a terminal the system may not know the login name: either OS.SysErr, or a name that is a user of the system; both accepted.		tests/basis/posix_procenv.sml:146-148	1	tests	Posix.ProcEnv.getlogin/user-or-SysErr		yes		testsA	
145	POSIX_PROC_ENV	Posix.ProcEnv.setsid	Reading	note	The process group ID setsid returns is then the caller's own pid; a process group leader cannot call it (SysErr).		tests/basis/posix_procenv.sml:136-138	1	tests	Posix.ProcEnv.setsid/child, Posix.ProcEnv.setsid/group-leader-raises		yes		testsA	
146	POSIX_PROC_ENV	Posix.ProcEnv.setuid	Reading	note	Setting the uid or gid to the one the process already has is allowed and changes nothing.		tests/basis/posix_procenv.sml:58-59	1	tests	Posix.ProcEnv.setuid/own, Posix.ProcEnv.setgid/own		yes		testsA	
147	POSIX_PROC_ENV	Posix.ProcEnv.sysconf	Reading	note	A variable without a limit (sysconf gives ~1, errno untouched) raises SysErr like an unsupported one.	[lib] Unsupported names raise SysErr; a variable with no limit (sysconf gives ~1, errno untouched) also raises SysErr, with NONE as the error.	lib/basis/posix_procenv.sml:76-78; tests/basis/posix_procenv.sml:272-273	2	lib-body,tests		Posix.ProcEnv.sysconf/*	no	no	lib,mine	43
148	POSIX_SYS_DB	Posix.SysDB.getpwnam …; getpwnam, getpwuid, getgrnam, getgrgid	Reading	note	A missing user/group raises OS.SysErr although the C library reports it without an errno.	"[lib] libc reports a missing user or group without errno; Rune raises SysErr (""no such user""/""no such group"", NONE)."	lib/basis/posix_sysdb.sml:11-12	1	lib-body	Posix.SysDB.getpwnam/unknown*		yes	no	lib,mine	124
149	POSIX_SYS_DB	getpwnam, getgrnam	Reading	note	"An empty name raises SysErr at once, because the primitive would treat """" as ""look up by number""."		lib/basis/posix_sysdb.sml:47-48	1	lib-body			no		lib	
150	POSIX_TTY	Posix.TTY.I	Reading	note	The page is silent on flag bits; the test follows POSIX: every named I and L flag has non-zero bits of its own inside `all`. Bits are compared through SysWord, not allSet/anySet.		tests/basis/posix_tty.sml:64-67	1	tests	Posix.TTY.L.echo/disjoint, Posix.TTY.C.cs5/in-csize	Posix.TTY.I.brkint/own-bit (and the other I.*/own-bit), Posix.TTY.L.echo/own-bit (and the other L.*/own-bit)	yes		testsB	
151	POSIX_TTY	Posix.TTY.TC	Reading	note	Without a terminal, the TC operations on a non-terminal descriptor are expected to fail with OS.SysErr (POSIX ENOTTY); the page does not say so.		tests/basis/posix_tty.sml:2-9	1	tests	Posix.TTY.TC.getattr/not-a-terminal, Posix.TTY.TC.setattr/not-a-terminal, Posix.TTY.TC.sendbreak/not-a-terminal, Posix.TTY.TC.drain/not-a-terminal, Posix.TTY.TC.flush/not-a-terminal, Posix.TTY.TC.flow/not-a-terminal, Posix.TTY.TC.getpgrp/not-a-terminal, Posix.TTY.TC.setpgrp/not-a-terminal		yes		testsB	
152	POSIX_TTY	Posix.TTY.V	Reading	note	POSIX allows MIN to share its index with EOF and TIME with EOL, so distinctness is only required within each of the two index sets.		tests/basis/posix_tty.sml:35-36	1	tests	Posix.TTY.V.eof/distinct		yes		testsB	
153	POSIX_TTY	Posix.TTY.V.cc	Reading	quote-only	"Quote only: unspecified indices are #""\000""."		lib/basis/posix_tty.sml:62	1	lib-body			no		lib	
154	POSIX_TTY	Posix.TTY.V.update	Reading	note	Returns an updated copy; an index outside [0, nccs) raises Subscript.		lib/basis/posix_tty.sml:56-57	1	lib-body			no		lib	
155	PRIM_IO	PRIM_IO.augmentReader	Reading	note	What the table cannot synthesize stays absent: no non-blocking read without canInput or an NB operation, no blocking read without block or a blocking operation.		tests/basis/fn/prim_io_fn.sml:337-339	1	tests	<name>.augmentReader/no-readVecNB-from-readVec-alone, <name>.augmentReader/no-readVec-from-readVecNB-alone		yes		testsB	
156	PRIM_IO	PRIM_IO.openVector	Reading	note	For a vector reader data is always there, so readVecNB is expected to be present and always SOME, with SOME of the empty vector at the end.		tests/basis/fn/prim_io_fn.sml:203-205	1	tests	<name>.openVector/readVecNB		yes		testsB	
157	PRIM_IO	PrimIO readers/writers after close	Reading	note	After close every reader function except close and getPos (writer: except close) raises Io with cause ClosedStream.		lib/basis/primio_fn.sml:59-63	1	lib-body			no		lib	
158	PRIM_IO	RD/WR operations after close	Reading	note	Page says both 'raise IO.Io with cause ClosedStream' and 'raise IO.ClosedStream'; the checks accept both.		tests/basis/fn/prim_io_fn.sml:40-46	1	tests		<P>.RD/..closed	no	no -- NOT in basis-compat	mine	22
159	PRIM_IO	nullRd, nullWr	Reading	note	nullRd is always at end-of-stream, nullWr a sink; once closed they behave as any closed reader or writer.		lib/basis/primio_fn.sml:103-105	1	lib-body			no		lib	
160	PRIM_IO	vector_slice, array_slice	Reading	note	Page leaves them abstract in TextPrimIO/BinPrimIO; every implementation (and Rune) makes them the slices of the vector/array structures, which the tests rely on.		tests/basis/spec-sigs/PRIM_IO.sml:9-11; tests/basis/io_primio_sig.sml:3-15	2	spec-sigs,tests		section `slices` of io_primio_sig	no	no -- NOT in basis-compat	mine	23
161	REAL	LargeReal	Reading	note	"""structure LargeReal :> REAL"" is read as: at least the precision and range of Real (same radix, precision >=, maxFinite >=, minPos <=)."		tests/basis/real.sml:1065	1	tests	LargeReal.radix/same-as-Real, LargeReal.precision/at-least-Real, LargeReal.maxFinite/at-least-Real, LargeReal.minPos/at-most-Real		yes		testsB	
162	REAL	LargeReal / Real<N>	Reading	note	Real64 = LargeReal equality is not required by the page when LargeReal = Real, but holds on every system; checked.		tests/basis/real_sig.sml:31-33	1	tests			no	no	mine	31
163	REAL	Real.fmt; Real.fromString; Real.scan; Real.toDecimal; Real.fromDecimal	Reading	note	~0.0 is printed with its sign by SCI/FIX/GEN/EXACT (formats say only [~]?); MLton omits it.	"[testsB] GEN ""whichever is shorter"": trailing zeros make scientific notation shorter from ""1E3"" on; ""12345000"" ties with ""1.2345E7"" and fixed-point wins. || [testsB] GEN: digits beyond the maximum number of significant digits become zeros in fixed-point notation (as gcvt does): ""123500"" is shorter than ""1.235E5"". || [testsB] EXACT is taken, through IEEEReal.toString o toDecimal, to be [~]0.d1...dn[E exp] with the fewest digits that read back to the same real. || [testsB] A negative zero is printed with ""~"": ""[~]?"" is the sign of the number, signBit (~0.0) is true, and IEEEReal.toString says so explicitly. || [testsB] ""Too large/too small a magnitude"" also covers an exponent that does not fit an int: the result is inf or 0.0 (0.0 for a zero mantissa), not Overflow. || [testsB] The page's regular expression lost its grouping; restored as [0-9]+(.[0-9]+)?, so a point needs digits after it: ""1."" scans 1.0 and leaves ""."". || [testsB] An exponent needs digits; otherwise the E (and its sign) is not consumed and stays in the stream. || [testsB] ""inf | infinity"" is matched longest first: ""infinity"" is consumed whole, and ""infinit"" gives inf with ""init"" left. || [testsB] In the alternative .[0-9]+ a point also needs digits after it: a bare point, even with a sign or exponent, is no number. || [testsB] For minPos one digit is enough and both 4E~324 and 5E~324 read back as minPos, so either is accepted: only the digit count, exponent, class and sign are checked. || [testsB] fromDecimal is taken to honour the current rounding mode; the check uses a case where the nearest real is also the round-down result."	tests/basis/deviations.txt:105; docs/basis-compat.md:338; tests/basis/real_fmt.sml:172-174,177-178,198-200,225-227,322,346,350,358,366,422-423,545	14	deviations,docs,tests	Real.fmt/SCI-negzero, Real.fmt/FIX-negzero, Real.fmt/EXACT-negzero, Real.fmt/GEN-integral-negzero, Real.fmt/GEN-notation-thousand, Real.fmt/GEN-notation-tie-is-fixed, Real.fmt/GEN-notation-padded, Real.fmt/GEN-notation-padded-integer, Real.fmt/EXACT-half, Real.fmt/EXACT-one, Real.fmt/EXACT-tenth, Real.fmt/EXACT-negative, Real.fmt/EXACT-maxFinite, Real.fmt/EXACT-zero, Real.fromString/huge-exponent, Real.fromString/huge-negative-exponent, Real.fromString/huge-exponent-of-zero, Real.scan/point-without-digits, Real.scan/point-then-exponent, Real.scan/second-point, Real.scan/exponent-without-digits, Real.scan/exponent-sign-without-digits, Real.scan/exponent-letter, Real.scan/nonfinite-infinity-all, Real.scan/nonfinite-infinity-rest, Real.scan/nonfinite-infinit, Real.scan/nonfinite-inf-rest, Real.scan/bare-point, Real.toDecimal/minPos, Real.fromDecimal/TO_NEGINF-negative		yes	mlton:105	mine,testsB	4
164	REAL	Real.fmt	Reading	note	Size for a bad precision is raised when `fmt spec` is evaluated, before a real is supplied.		lib/basis/real.sml:256	1	lib-body			no		lib	
165	REAL	Real.fmt (GEN), toString	Reading	note	"Integral values print without a point (GEN NONE 1.0 = ""1"", 1000.0 = ""1E3""), per 'no decimal point unless a fractional part' and StringCvt's gcvt; Poly/ML prints ""1.0""."		docs/language.md:201; tests/basis/real_fmt.sml:162-164	2	docs,tests	Real.fmt/GEN-integral-one, Real.fmt/GEN-integral-zero		yes	no (polyml HOST-BUG)	mine	30
166	REAL	Real.fmt/toString of NaN; Real.fmt	Reading	note	"NaN is ""nan"" in every format, without a sign."	"[lib] NaN formats as ""nan"" in every format, never with a sign."	lib/basis/real.sml:268	1	lib-body	Real.fmt/*-nan		yes	no	lib,mine	123
167	REAL	Real.fromLargeInt	Reading	note	"""The current rounding mode is used"" is checked under the default mode only: to nearest, ties to even, with the low (sticky) bits deciding."		tests/basis/real.sml:1021-1022	1	tests	Real.fromLargeInt/tie-rounds-to-even-down, Real.fromLargeInt/tie-rounds-to-even-up, Real.fromLargeInt/sticky-bit, Real.fromLargeInt/tie-without-sticky-bit		yes		testsB	
